Field_Name,Field_Description,Module
LEA_STATE,District State Abbreviation,Identification
LEA_STATE_NAME,District State Name,Identification
LEAID,7 Digit LEAID District Identification Code,Identification
LEA_NAME,District Name,Identification
SCHID,5 Digit School Identification Code,Identification
SCH_NAME,School Name,Identification
COMBOKEY,7 Digit LEAID District Identification Code+5 Digit School Identification Code,Identification
JJ,"Juvenile Justice Facility: ""Yes"" indicates a long-term secure facility; ""No"" indicates not a JJ facility",Identification
SCH_GRADE_PS,Grades with Students Enrolled: Preschool,School Characteristics
SCH_GRADE_KG,Grades with Students Enrolled: Kindergarten,School Characteristics
SCH_GRADE_G01,Grades with Students Enrolled: Grade 1,School Characteristics
SCH_GRADE_G02,Grades with Students Enrolled: Grade 2,School Characteristics
SCH_GRADE_G03,Grades with Students Enrolled: Grade 3,School Characteristics
SCH_GRADE_G04,Grades with Students Enrolled: Grade 4,School Characteristics
SCH_GRADE_G05,Grades with Students Enrolled: Grade 5,School Characteristics
SCH_GRADE_G06,Grades with Students Enrolled: Grade 6,School Characteristics
SCH_GRADE_G07,Grades with Students Enrolled: Grade 7,School Characteristics
SCH_GRADE_G08,Grades with Students Enrolled: Grade 8,School Characteristics
SCH_GRADE_G09,Grades with Students Enrolled: Grade 9,School Characteristics
SCH_GRADE_G10,Grades with Students Enrolled: Grade 10,School Characteristics
SCH_GRADE_G11,Grades with Students Enrolled: Grade 11,School Characteristics
SCH_GRADE_G12,Grades with Students Enrolled: Grade 12,School Characteristics
SCH_GRADE_UG,Grades with Students Enrolled: Ungraded,School Characteristics
SCH_UGDETAIL_HS,Ungraded Detail: High school age students,School Characteristics
SCH_STATUS_SPED,School Characteristics: Special education school,School Characteristics
SCH_STATUS_MAGNET,School Characteristics: Magnet school or school operating a magnet program within the school,School Characteristics
SCH_STATUS_CHARTER,School Characteristics: Charter school,School Characteristics
SCH_STATUS_ALT,School Characteristics: Alternative school,School Characteristics
SCH_ENR_HI_M,Overall Student Enrollment: Hispanic Male,Enrollment
SCH_ENR_HI_F,Overall Student Enrollment: Hispanic Female,Enrollment
SCH_ENR_AM_M,Overall Student Enrollment: American Indian/Alaska Native Male,Enrollment
SCH_ENR_AM_F,Overall Student Enrollment: American Indian/Alaska Native Female,Enrollment
SCH_ENR_AS_M,Overall Student Enrollment: Asian Male,Enrollment
SCH_ENR_AS_F,Overall Student Enrollment: Asian Female,Enrollment
SCH_ENR_HP_M,Overall Student Enrollment: Native Hawaiian/Pacific Islander Male,Enrollment
SCH_ENR_HP_F,Overall Student Enrollment: Native Hawaiian/Pacific Islander Female,Enrollment
SCH_ENR_BL_M,Overall Student Enrollment: Black Male,Enrollment
SCH_ENR_BL_F,Overall Student Enrollment: Black Female,Enrollment
SCH_ENR_WH_M,Overall Student Enrollment: White Male,Enrollment
SCH_ENR_WH_F,Overall Student Enrollment: White Female,Enrollment
SCH_ENR_TR_M,Overall Student Enrollment: Two or More Races Male,Enrollment
SCH_ENR_TR_F,Overall Student Enrollment: Two or More Races Female,Enrollment
TOT_ENR_M,Overall Student Enrollment: Calculated Male Total,Enrollment
TOT_ENR_F,Overall Student Enrollment: Calculated Female Total,Enrollment
SCH_ENR_LEP_M,Overall Student Enrollment: LEP Male,Enrollment
SCH_ENR_LEP_F,Overall Student Enrollment: LEP Female,Enrollment
SCH_ENR_IDEA_M,Overall Student Enrollment: IDEA Male,Enrollment
SCH_ENR_IDEA_F,Overall Student Enrollment: IDEA Female,Enrollment
SCH_DUAL_IND,Dual Enrollment Program Indicator,Dual Enrollment
SCH_DUALENR_HI_M,Dual Enrollment: Hispanic Male,Dual Enrollment
SCH_DUALENR_HI_F,Dual Enrollment: Hispanic Female,Dual Enrollment
SCH_DUALENR_AM_M,Dual Enrollment: American Indian/Alaska Native Male,Dual Enrollment
SCH_DUALENR_AM_F,Dual Enrollment: American Indian/Alaska Native Female,Dual Enrollment
SCH_DUALENR_AS_M,Dual Enrollment: Asian Male,Dual Enrollment
SCH_DUALENR_AS_F,Dual Enrollment: Asian Female,Dual Enrollment
SCH_DUALENR_HP_M,Dual Enrollment: Native Hawaiian/Pacific Islander Male,Dual Enrollment
SCH_DUALENR_HP_F,Dual Enrollment: Native Hawaiian/Pacific Islander Female,Dual Enrollment
SCH_DUALENR_BL_M,Dual Enrollment: Black Male,Dual Enrollment
SCH_DUALENR_BL_F,Dual Enrollment: Black Female,Dual Enrollment
SCH_DUALENR_WH_M,Dual Enrollment: White Male,Dual Enrollment
SCH_DUALENR_WH_F,Dual Enrollment: White Female,Dual Enrollment
