,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Students_in_11_12
0,John F. Kennedy High,540,CA,CALIFORNIA,609850,Corona-Norco Unified,11712,='060985011712',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,119,164,2,2,29,41,11,17,8,26,95,125,0,2,264,377,5,5,40,31,Yes,101,149,2,0,29,41,11,11,8,23,68,95,0,2,219,321,2,5,8,8,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='060985011712',No,609850.0,Corona-Norco Unified,11712.0,John F. Kennedy High,Alternative Education School,4.0,3,No,10,12,Riverside County,21,33.917289000000004,-117.564442,Yes
1,Lowell Senior High School,520,IN,INDIANA,1811460,Tri-Creek School Corporation,1852,='181146001852',No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,53,62,0,2,0,2,0,0,5,8,557,485,8,14,623,573,23,17,76,43,Yes,29,17,0,0,0,0,0,0,2,2,284,176,5,5,320,200,0,0,0,0,Yes,8,8,0,2,0,2,0,0,0,2,89,128,2,5,99,147,2,5,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='181146001852',No,1811460.0,Tri-Creek School Corporation,1852.0,Lowell Senior High School,Regular School,1.0,3,No,8,12,Lake County,31,41.291374,-87.39315500000002,Yes
2,Ben Davis Ninth Grade Center,496,IN,INDIANA,1812810,M S D Wayne Township,2122,='181281002122',No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,No,No,167,155,2,2,2,5,0,0,212,209,233,221,32,35,648,627,86,77,139,64,Yes,71,53,2,0,2,2,0,0,86,98,71,86,14,11,246,250,65,59,50,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='181281002122',Yes,1812810.0,M S D Wayne Township,2122.0,Ben Davis Ninth Grade Center,Regular School,1.0,4,No,9,9,Marion County,11,39.783039,-86.291674,No
3,Oak Creek High,443,WI,WISCONSIN,5510830,Oak Creek-Franklin Joint School District,1411,='551083001411',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,143,152,8,5,62,68,2,2,62,47,782,716,14,23,1073,1013,38,29,106,46,Yes,23,35,2,2,17,11,0,2,14,11,161,158,2,5,219,224,5,5,14,8,Yes,23,26,5,0,14,14,0,0,8,11,137,191,5,5,192,247,2,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='551083001411',Yes,5510830.0,Oak Creek-Franklin Joint School District,1411.0,Oak Creek High,Regular School,1.0,3,No,9,12,Milwaukee County,21,42.88669,-87.90852,Yes
4,Tesla STEM High School,395,WA,WASHINGTON,5304230,Lake Washington School District,3432,='530423003432',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,20,11,0,2,137,92,0,0,2,2,179,92,17,11,355,210,0,0,25,0,Yes,17,8,0,0,101,56,0,0,2,2,125,62,14,8,259,136,0,0,17,2,Yes,11,8,0,2,95,68,0,0,0,2,131,62,14,8,251,150,0,0,14,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530423003432',Yes,5304230.0,Lake Washington School District,3432.0,Tesla STEM High School,Alternative Education School,4.0,3,Missing,9,12,King County,21,47.64868,-122.037761,Yes
5,Lake Havasu High School,376,AZ,ARIZONA,404280,Lake Havasu Unified School District #1,433,='040428000433',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,212,182,14,17,17,14,5,2,17,11,671,665,5,11,941,902,8,2,118,70,Yes,29,23,0,0,5,14,0,0,2,2,101,200,0,0,137,239,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='040428000433',Yes,404280.0,Lake Havasu Unified District,433.0,Lake Havasu High School,Regular School,1.0,3,No,9,12,Mohave County,13,34.494353000000004,-114.317801,Yes
7,MAGGIE L. WALKER GOV. SCH.,328,VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,2561,='510006102561',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,5,17,0,2,50,68,0,0,14,32,227,281,17,32,313,432,0,0,0,0,Yes,2,5,0,2,32,26,0,0,2,11,116,107,8,17,160,168,0,0,0,2,Yes,2,11,0,2,41,44,0,0,5,17,164,167,11,26,223,267,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510006102561',No,5100061.0,MAGGIE L. WALKER GOV SCH,2561.0,MAGGIE L. WALKER GOV. SCH.,Regular School,1.0,N,No,N,N,Richmond city,12,37.557907,-77.453629,Yes
8,Sherman Oaks Center for Enriched Studies,321,CA,CALIFORNIA,622710,Los Angeles Unified,9151,='062271009151',No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,359,377,2,5,200,182,8,5,38,38,413,413,23,26,1043,1046,32,29,55,31,Yes,47,59,2,0,23,41,2,2,5,5,62,71,0,2,141,180,0,0,0,8,Yes,62,62,2,2,50,50,5,2,8,5,83,80,0,2,210,203,2,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062271009151',Yes,622710.0,Los Angeles Unified,9151.0,Sherman Oaks Center for Enriched Studies,Alternative Education School,4.0,4,No,4,12,Los Angeles County,11,34.184942,-118.538329,Yes
9,Stahl Junior High,298,WA,WASHINGTON,5306960,Puyallup School District,1178,='530696001178',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,62,68,5,5,32,23,14,14,32,26,212,242,53,68,410,446,71,83,46,40,Yes,20,23,2,5,8,8,5,5,14,8,80,74,23,23,152,146,20,32,11,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530696001178',Yes,5306960.0,Puyallup School District,1178.0,Stahl Junior High,Regular School,1.0,2,Missing,5,9,Pierce County,21,47.102176,-122.299881,No
10,MERCEDES EARLY COLLEGE ACADEMY,293,TX,TEXAS,4830250,MERCEDES ISD,12441,='483025012441',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,149,173,0,0,0,0,0,0,0,2,2,2,0,2,151,179,2,5,0,0,Yes,143,146,0,0,0,0,0,0,0,0,2,2,0,0,145,148,2,2,0,0,Yes,23,32,0,0,0,0,0,0,0,0,0,2,0,0,23,34,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='483025012441',Yes,4830250.0,MERCEDES ISD,12441.0,MERCEDES EARLY COLLEGE ACADEMY,Alternative Education School,4.0,3,Missing,9,12,Hidalgo County,21,26.143598,-97.912081,Yes
