,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516
16,RIVERCREST HIGH SCHOOL,233,AR,ARKANSAS,500045,RIVERCREST SCHOOL DISTRICT #57,1204,='050004501204',Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,17,8,2,2,2,0,0,0,89,83,209,179,2,5,321,277,5,5,34,16,Yes,0,0,0,0,0,0,0,0,20,26,95,92,0,0,115,118,5,0,17,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='050004501204',Yes,500045,RIVERCREST SCHOOL DISTRICT #57,1204,RIVERCREST HIGH SCHOOL,Regular School,1,3,Missing,7,12,Mississippi County,42,35.612765,-90.107288
110,Lawrence Gardner High School,67,KS,KANSAS,2000008,Lawrence Gardner High School,1745,='200000801745',Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,2,0,0,0,0,0,0,41,5,41,11,0,0,93,18,0,0,28,4,Yes,5,2,0,0,0,0,0,0,26,0,29,5,0,0,60,7,0,0,20,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='200000801745',Missing,2000008,Lawrence Gardner High School,1745,Lawrence Gardner High School,Regular School,1,3,No,7,12,Shawnee County,12,39.097073,-95.684096
0,John F. Kennedy High,540,CA,CALIFORNIA,609850,Corona-Norco Unified,11712,='060985011712',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,119,164,2,2,29,41,11,17,8,26,95,125,0,2,264,377,5,5,40,31,Yes,101,149,2,0,29,41,11,11,8,23,68,95,0,2,219,321,2,5,8,8,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='060985011712',No,609850,Corona-Norco Unified,11712,John F. Kennedy High,Alternative Education School,4,3,No,10,12,Riverside County,21,33.917289,-117.564442
4,Tesla STEM High School,395,WA,WASHINGTON,5304230,Lake Washington School District,3432,='530423003432',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,20,11,0,2,137,92,0,0,2,2,179,92,17,11,355,210,0,0,25,0,Yes,17,8,0,0,101,56,0,0,2,2,125,62,14,8,259,136,0,0,17,2,Yes,11,8,0,2,95,68,0,0,0,2,131,62,14,8,251,150,0,0,14,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530423003432',Yes,5304230,Lake Washington School District,3432,Tesla STEM High School,Alternative Education School,4,3,Missing,9,12,King County,21,47.64868,-122.037761
8,Sherman Oaks Center for Enriched Studies,321,CA,CALIFORNIA,622710,Los Angeles Unified,9151,='062271009151',No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,359,377,2,5,200,182,8,5,38,38,413,413,23,26,1043,1046,32,29,55,31,Yes,47,59,2,0,23,41,2,2,5,5,62,71,0,2,141,180,0,0,0,8,Yes,62,62,2,2,50,50,5,2,8,5,83,80,0,2,210,203,2,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062271009151',Yes,622710,Los Angeles Unified,9151,Sherman Oaks Center for Enriched Studies,Alternative Education School,4,4,No,4,12,Los Angeles County,11,34.184942,-118.538329
612,Wyoming Girls School,5,WY,WYOMING,5680251,Wyoming Department of Family Services,534,='568025100534',Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,0,8,0,11,0,0,0,0,0,2,0,53,0,8,0,82,0,0,0,19,Yes,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='568025100534',Not Applicable,5680251,Wyoming Department of Family Services,534,Wyoming Girls School,Regular School,1,3,No,7,12,Sheridan County,33,44.760521,-106.96154
10,MERCEDES EARLY COLLEGE ACADEMY,293,TX,TEXAS,4830250,MERCEDES ISD,12441,='483025012441',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,149,173,0,0,0,0,0,0,0,2,2,2,0,2,151,179,2,5,0,0,Yes,143,146,0,0,0,0,0,0,0,0,2,2,0,0,145,148,2,2,0,0,Yes,23,32,0,0,0,0,0,0,0,0,0,2,0,0,23,34,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='483025012441',Yes,4830250,MERCEDES ISD,12441,MERCEDES EARLY COLLEGE ACADEMY,Alternative Education School,4,3,Missing,9,12,Hidalgo County,21,26.143598,-97.912081
11,COLLEGIATE H S,289,TX,TEXAS,4815270,CORPUS CHRISTI ISD,11318,='481527011318',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,Yes,No,131,206,0,2,8,5,0,0,2,8,11,23,0,0,152,244,2,2,0,0,Yes,92,152,0,0,5,5,0,0,2,5,8,20,0,0,107,182,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='481527011318',Yes,4815270,CORPUS CHRISTI ISD,11318,COLLEGIATE H S,Alternative Education School,4,3,Missing,9,12,Nueces County,11,27.76407,-97.407211
12,Edmonds Career Access Program,276,WA,WASHINGTON,5302400,Edmonds School District,3490,='530240003490',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,29,32,2,0,5,5,2,0,8,2,98,74,11,11,155,124,2,2,0,0,Yes,29,32,2,0,5,5,2,0,8,2,95,74,11,11,152,124,2,2,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530240003490',Yes,5302400,Edmonds School District,3490,Edmonds Career Access Program,Alternative Education School,4,3,Missing,9,12,Snohomish County,21,47.81683,-122.327691
13,El Camino High,272,CA,CALIFORNIA,640980,Ventura Unified,1880,='064098001880',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,29,44,2,2,5,2,0,2,2,2,77,110,8,5,123,167,0,2,4,0,Yes,26,41,2,2,5,2,0,2,2,2,74,101,8,5,117,155,0,2,5,2,Yes,2,2,0,0,0,2,0,0,0,0,2,11,2,2,6,17,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='064098001880',No,640980,Ventura Unified,1880,El Camino High,Alternative Education School,4,3,No,9,12,Ventura County,12,34.277016,-119.226704
